unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1688342400000,2023-07-03 0:00:00,NEO/USD,9.6511,9.6511,9.323,9.4448,213061.3649,22558.58937
1688256000000,2023-07-02 0:00:00,NEO/USD,9.897,9.897,9.4283,9.6301,63848.90235,6630.139079
1688169600000,2023-07-01 0:00:00,NEO/USD,9.5907,10.75,9.5907,9.9074,255527.1927,25791.54902
1688083200000,2023-06-30 0:00:00,NEO/USD,8.7134,9.8626,8.6247,9.5739,262478.4591,27416.04352
1687996800000,2023-06-29 0:00:00,NEO/USD,8.4492,8.9803,8.4492,8.7071,26323.01644,3023.166892
1687910400000,2023-06-28 0:00:00,NEO/USD,9.1111,9.1111,8.2564,8.4301,28465.52696,3376.653535
1687824000000,2023-06-27 0:00:00,NEO/USD,8.8903,9.3,8.833,9.0941,20621.78385,2267.600296
1687737600000,2023-06-26 0:00:00,NEO/USD,9.0914,9.2167,8.6605,8.8694,25005.2679,2819.273897
1687651200000,2023-06-25 0:00:00,NEO/USD,9.1915,9.3548,9.0194,9.0914,40535.69018,4458.685151
1687564800000,2023-06-24 0:00:00,NEO/USD,9.1746,9.343,8.8423,9.1343,18636.3662,2040.262111
1687478400000,2023-06-23 0:00:00,NEO/USD,8.5843,9.3599,8.5843,9.1532,94669.52578,10342.77911
1687392000000,2023-06-22 0:00:00,NEO/USD,9.13,9.3459,8.5383,8.6155,43143.92225,5007.709622
1687305600000,2023-06-21 0:00:00,NEO/USD,8.1199,9.5423,8.102,8.9489,153005.5836,17097.69732
1687219200000,2023-06-20 0:00:00,NEO/USD,7.7977,8.1507,7.6,8.1162,39737.61804,4896.086598
1687132800000,2023-06-19 0:00:00,NEO/USD,7.7126,7.8639,7.6496,7.7731,3632.587821,467.32807
1687046400000,2023-06-18 0:00:00,NEO/USD,7.7714,7.9339,7.6721,7.6838,13309.40722,1732.138684
1686960000000,2023-06-17 0:00:00,NEO/USD,7.8196,8.028,7.7628,7.8259,17162.75231,2193.070741
1686873600000,2023-06-16 0:00:00,NEO/USD,7.881,7.9136,7.6,7.8523,23651.56793,3012.056076
1686787200000,2023-06-15 0:00:00,NEO/USD,7.4652,7.9871,7.4556,7.8954,39340.68802,4982.735266
1686700800000,2023-06-14 0:00:00,NEO/USD,7.8637,7.982,7.3315,7.4693,29722.07315,3979.231407
1686614400000,2023-06-13 0:00:00,NEO/USD,7.8538,8.098,7.682,7.8596,24449.44362,3110.774545
1686528000000,2023-06-12 0:00:00,NEO/USD,7.7489,7.8458,7.4408,7.8039,23015.89138,2949.280664
