unix,date,symbol,open,high,low,close,Volume USD,Volume BTC
1620432000000,2021-05-08 0:00:00,BTC/USD,57342,59450,56939,58897,448143802.8,7608.94108
1620345600000,2021-05-07 0:00:00,BTC/USD,56451,58635,55300,57349,397683498.9,6934.44522
1620259200000,2021-05-06 0:00:00,BTC/USD,57486.60044,58343,55282,56450,589263535.2,10438.68087
1620172800000,2021-05-05 0:00:00,BTC/USD,53251,57898,52960,57487,440632223.7,7664.902042
1620086400000,2021-05-04 0:00:00,BTC/USD,57141,57166,53067,53251,535957375,10064.73822
1620000000000,2021-05-03 0:00:00,BTC/USD,56601,58945,56511,57147,435833391.7,7626.531431
1619913600000,2021-05-02 0:00:00,BTC/USD,57774,57900,56050,56605,237549605,4196.618762
1619827200000,2021-05-01 0:00:00,BTC/USD,57632,58326,57000,57774,249433660.5,4317.403339
1619740800000,2021-04-30 0:00:00,BTC/USD,53566,57794,53068,57630,453141192.4,7862.93931
1619654400000,2021-04-29 0:00:00,BTC/USD,54860,55222,52377,53566,379148685.4,7078.15938
1619568000000,2021-04-28 0:00:00,BTC/USD,55039,56432,53917,54859,316165573.3,5763.239821
1619481600000,2021-04-27 0:00:00,BTC/USD,54094,55437,53304,55044,398338567.1,7236.730018
1619395200000,2021-04-26 0:00:00,BTC/USD,49129.093,54387,48831,54102,595712916.8,11010.92227
1619308800000,2021-04-25 0:00:00,BTC/USD,50149,50671,47112,49129,471595374.4,9599.124233
1619222400000,2021-04-24 0:00:00,BTC/USD,51138,51201,48852,50161,299974988.9,5980.243395
1619136000000,2021-04-23 0:00:00,BTC/USD,51741,52131,47560,51138,882146443.4,17250.31177
1619049600000,2021-04-22 0:00:00,BTC/USD,53779.81498,55500,50575,51735.13723,656368496.2,12687.09298
1618963200000,2021-04-21 0:00:00,BTC/USD,56471.15171,56790,53609,53780,382244974.6,7107.567397
1618876800000,2021-04-20 0:00:00,BTC/USD,55619,57099,53337,56471.15171,473916857.5,8392.193945
1618790400000,2021-04-19 0:00:00,BTC/USD,56171,57500,54256,55630,476680134.3,8568.760278
1618704000000,2021-04-18 0:00:00,BTC/USD,59945,60279,50500,56172,1478738658,26325.19151
1618617600000,2021-04-17 0:00:00,BTC/USD,61321,62450,59662,59927,420714515.6,7020.450141
1618531200000,2021-04-16 0:00:00,BTC/USD,63208,63520,60005,61322,707579815.2,11538.75958
1618444800000,2021-04-15 0:00:00,BTC/USD,62909,63845,62000,63196,417968786.5,6613.848764
1618358400000,2021-04-14 0:00:00,BTC/USD,63519,64829,61306,62914,687494760.6,10927.5322
1618272000000,2021-04-13 0:00:00,BTC/USD,59887,63555,59859,63537,715801692.5,11265.90321
1618185600000,2021-04-12 0:00:00,BTC/USD,60033,61338,59492,59874,329182773.1,5497.925195
1618099200000,2021-04-11 0:00:00,BTC/USD,59817.07379,60722,59308,60032,278943610.5,4646.581998
1618012800000,2021-04-10 0:00:00,BTC/USD,58134.09064,61243,57900,59812,585831174.8,9794.542479
1617926400000,2021-04-09 0:00:00,BTC/USD,58110,58880,57713,58134,217973066.6,3749.493697
1617840000000,2021-04-08 0:00:00,BTC/USD,55962,58155,55714,58110,260465732.2,4482.287596
1617753600000,2021-04-07 0:00:00,BTC/USD,57994,58639,55555,55962,495191795.4,8848.715118
1617667200000,2021-04-06 0:00:00,BTC/USD,59145,59499,57401,57991,325718615.2,5616.709752
1617580800000,2021-04-05 0:00:00,BTC/USD,58241,59250,56850,59145,330930469.2,5595.239989
1617494400000,2021-04-04 0:00:00,BTC/USD,57029,58480,56500,58240.23919,289568081.7,4971.959006
1617408000000,2021-04-03 0:00:00,BTC/USD,58958.19519,59841,56872,57020,378278490.6,6634.13698
1617321600000,2021-04-02 0:00:00,BTC/USD,58731,60190,58327.98689,58959,362777545.4,6153.047802
1617235200000,2021-04-01 0:00:00,BTC/USD,58792.5026,59483,57955,58724,255447591.7,4349.969207
1617148800000,2021-03-31 0:00:00,BTC/USD,58837,59899,56826,58796,477367807.5,8119.052444
1617062400000,2021-03-30 0:00:00,BTC/USD,57675,59523,57135,58840,463332259.8,7874.443572
1616976000000,2021-03-29 0:00:00,BTC/USD,55783,58492,54831,57675,583561977,10118.1097
1616889600000,2021-03-28 0:00:00,BTC/USD,55881,56609,54800,55780,234980641.5,4212.632512
